COMUNA_ORI	FREQ	COMUNA_ID	COMUNA_STD	TIPO
	489	0	No Data	Comuna
Aranjuez	12425	4	Aranjuez	Comuna
AU	17	0	No Data	Comuna
Belén	13933	16	Belén	Comuna
Buenos Aires	7791	9	Buenos Aires	Comuna
Castilla	21208	5	Castilla	Comuna
Corregimiento de Altavista	456	19	Altavista	Corregimiento
Corregimiento de San Antonio de Prado	1880	20	San Antonio de Prado	Corregimiento
Corregimiento de San Cristóbal	2069	18	San Cristóbal	Corregimiento
Corregimiento de Santa Elena	762	21	Santa Elena	Corregimiento
Doce de Octubre	5880	6	Doce de Octubre	Comuna
El Poblado	17148	14	El Poblado	Comuna
Guayabal	15217	15	Guayabal	Comuna
In	149	0	No Data	Comuna
La América	6891	12	La América	Comuna
La Candelaria	43715	10	La Candelaria	Comuna
Laureles Estadio	23850	11	Laureles Estadio	Comuna
Manrique	6403	3	Manrique	Comuna
Popular	3025	1	Popular	Comuna
Robledo	13910	7	Robledo	Comuna
San Javier	3799	13	San Javier	Comuna
Santa Cruz	2823	2	Santa Cruz	Comuna
SN	4	0	No Data	Comuna
Villa Hermosa	5489	8	Villa Hermosa	Comuna
0	3	0	No Data	Comuna
Corregimiento de San Sebastián de Palmitas	11	17	San Sebastián de Palmitas	Corregimiento
Alejandro Echavarría	1	9	Buenos Aires	Comuna
Alfonso López	1	5	Castilla	Comuna
Altavista	1	19	Altavista	Corregimiento
Andalucía	3	2	Santa Cruz	Comuna
Antonio Nariño	1	13	San Javier	Comuna
Barrio Colón	1	10	La Candelaria	Comuna
Bolivariana	2	11	Laureles Estadio	Comuna
Boston	2	10	La Candelaria	Comuna
Cabecera San Antonio de Prado	4	20	San Antonio de Prado	Corregimiento
Calasanz	1	12	La América	Comuna
Calle Nueva	2	10	La Candelaria	Comuna
Campo Amor	1	15	Guayabal	Comuna
Campo Valdés No. 1	1	4	Aranjuez	Comuna
Campo Valdés No. 2	3	3	Manrique	Comuna
Caribe	2	5	Castilla	Comuna
Cerro Nutibara	2	16	Belén	Comuna
Corazón de Jesús	1	10	La Candelaria	Comuna
Cristo Rey	2	15	Guayabal	Comuna
El Chagualo	1	10	La Candelaria	Comuna
El Nogal-Los Almendros	1	16	Belén	Comuna
El Raizal	1	3	Manrique	Comuna
Estación Villa	1	10	La Candelaria	Comuna
Fátima	1	16	Belén	Comuna
Florida Nueva	1	11	Laureles Estadio	Comuna
Girardot	1	5	Castilla	Comuna
Guayaquil	2	10	La Candelaria	Comuna
Héctor Abad Gómez	1	5	Castilla	Comuna
Jesús Nazareno	2	10	La Candelaria	Comuna
La Alpujarra	2	10	La Candelaria	Comuna
La Colina	1	15	Guayabal	Comuna
La Floresta	1	12	La América	Comuna
La Rosa	1	2	Santa Cruz	Comuna
Las Esmeraldas	2	4	Aranjuez	Comuna
Las Granjas	1	3	Manrique	Comuna
Las Palmas	1	10	La Candelaria	Comuna
Las Playas	1	16	Belén	Comuna
Laureles	1	11	Laureles Estadio	Comuna
Los Conquistadores	1	11	Laureles Estadio	Comuna
Los Mangos	1	8	Villa Hermosa	Comuna
Manila	1	14	El Poblado	Comuna
Miranda	1	4	Aranjuez	Comuna
Moravia	1	4	Aranjuez	Comuna
Naranjal	1	11	Laureles Estadio	Comuna
Oleoducto	2	10	La Candelaria	Comuna
Parque Juan Pablo II	1	9	Buenos Aires	Comuna
Patio Bonito	1	14	El Poblado	Comuna
Perpetuo Socorro	1	10	La Candelaria	Comuna
Rosales	2	16	Belén	Comuna
San Pedro	1	4	Aranjuez	Comuna
Santa Fé	1	15	Guayabal	Comuna
Santa Inés	1	3	Manrique	Comuna
Santa María de los Ángeles	1	14	El Poblado	Comuna
Simón Bolívar	1	12	La América	Comuna
Suramericana	1	11	Laureles Estadio	Comuna
Toscana	1	5	Castilla	Comuna
Universidad de Antioquia	2	4	Aranjuez	Comuna
Veinte de Julio	1	13	San Javier	Comuna
Villa Carlota	1	14	El Poblado	Comuna
Villa Guadalupe	1	1	Popular	Comuna
